Timestamp,ID,Data,Tags
45:32.2,463c3c4d,"Physics-based Animation of Characters in Fluids   Members: Sinan Wang, Zebin Guo Supervisor: Prof. Komura, Taku Short Introduction: Nowadays, with the",1
45:33.1,463c3c4d,Presented by Rain and Vincent The Road to Castle 3D A Fantasy Action RPGMade with Unity   Download for Free Learn More      Supervisor  Dr. T. W. Chim,2
45:34.0,463c3c4d,"We   research   Algo Trading.   We evaluate and optimise different algo trading strategies. We research, design our own algo trading strategies.  Our ",3
45:36.6,463c3c4d,Error,4
45:37.2,463c3c4d,Error,5
45:37.7,463c3c4d,Automated Stock and Crypto Trading using Machine Learning    Introduction   Volitility in trading is often seen as a negative thing that often keeps t,6
45:38.4,463c3c4d,Error,7
45:39.5,463c3c4d,Exploring the application of machine learning models to achieve advanced character control and improve the naturalness and immersion of virtual charac,8
45:40.0,463c3c4d,Project topic: Game for STEAM education about teaching programming  Supervisor: Dr Choi Yi King  Student: Yuen Sin Ming Project Introduction: This pro,9
45:40.8,463c3c4d,Progress and Milestones                  PeriodWork DescriptionProgress     Sep – OctAnalyse different proposed ideas’ feasibility and effectiveness R,10
45:41.5,463c3c4d,"Uncategorized   			Hello world!		  Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then start writing! ",11
45:42.6,463c3c4d,"AI-Driven Blockchain Forensics					  						Detecting Illicit Account					                                          Background       The rise of Block",12
45:43.1,463c3c4d,An Application that Drafts Summary Emails with the Help of ChatGPT   Description An innovative web application that uses automatic screenshots of emai,13
45:43.6,463c3c4d,AI-integrated Financial Management Mobile Application    Project Information Project title: AI-integrated Financial Management Mobile Application Supe,14
45:44.6,463c3c4d,"Overview              Course planning and registration are integral aspects of a student’s academic journey, influencing their educational experience ",15
45:45.4,463c3c4d,No. 1 Local  Blockchain Ticketing System What is our motivation  Ticket scalping & fraud negatively impact both Ticket Purchasers and Event Organizers,16
45:46.4,463c3c4d,2023-24 Final Year Project of Computer Science Project Title A Mobile App for Anxiety Tracking and Management. Yeung Wing Pan (UID: 3035691004)Supervi,17
45:48.0,463c3c4d,"COMP4801 Final Year Project 2023-2024    About the project From time to time, people may hear music anywhere like retail shops and restaurants. While ",18
45:48.5,463c3c4d,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",19
45:49.6,463c3c4d,"RTSAI:  Rational, Teachable and Scalable Artificial Intelligence         About RTSAI RTSAI (Rational, Teachable and Scalable Artificial Intelligence) ",20
45:50.6,463c3c4d,Error,21
45:51.7,463c3c4d,"Mindblown: a blog about philosophy.   Hello world! Welcome to HKU CS WordPress Multi Site 2023 Sites. This is your first post. Edit or delete it, then",22
45:52.2,463c3c4d,HKU canteen voice assistant    Project information   Supervisor: Dr. Kong Lingpeng Members: Ng Yuk Chuen  Project Summary This project aims to develop,23
